Year,Event,Sex,distance,place_1,place_2,place_3,place_4
2012,Olympics,M,100,9.63,9.75,9.79,9.88
2015,WorldChampionships,M,100,9.79,9.80,9.92,9.92
2016,Olympics,M,100,9.81,9.89,9.91,9.93
2019,WorldChampionships,M,100,9.76,9.89,9.90,9.93
2021,Olympics,M,100,9.80,9.84,9.89,9.93
2012,Olympics,F,100,10.75,10.78,10.81,10.85
2015,WorldChampionships,F,100,10.76,10.81,10.86,10.91
2016,Olympics,F,100,10.71,10.83,10.86,10.86
2019,WorldChampionships,F,100,10.71,10.83,10.90,10.93
2021,Olympics,F,100,10.61,10.74,10.76,10.91
2012,Olympics,M,200,19.32,19.44,19.84,19.90
2015,WorldChampionships,M,200,19.55,19.74,19.87,19.87
2016,Olympics,M,200,19.78,20.02,20.12,20.12
2019,WorldChampionships,M,200,19.83,19.95,19.98,20.03
2021,Olympics,F,200,21.53,21.81,21.87,21.94
2021,Olympics,M,200,19.62,19.68,19.74,19.93
2012,Olympics,F,200,21.88,22.09,22.14,22.38
2015,WorldChampionships,F,200,21.63,21.66,21.97,22.01
2016,Olympics,F,200,21.78,21.88,22.15,22.21
2019,WorldChampionships,F,200,21.88,22.22,22.51,22.59
2012,Olympics,M,400,43.94,44.46,44.52,44.79
2015,WorldChampionships,M,400,43.48,43.65,43.78,44.11
2016,Olympics,M,400,43.03,43.76,43.85,44.01
2019,WorldChampionships,M,400,43.48,44.15,44.17,44.46
2012,Olympics,F,400,49.55,49.70,49.72,49.75
2015,WorldChampionships,F,400,49.26,49.67,49.99,50.14
2016,Olympics,F,400,49.44,49.51,49.58,50.34
2019,WorldChampionships,F,400,48.14,48.37,49.47,49.60
